id,Title,areaOfStudy,Description,Faculty,level,corequisites,delivery_method,credits,maxenrollment,learning_outcomes,coursecode,Status,is_this_a_full-term_course_or_a_module_or_seven_week_course,coursetime_open,time_choice_0,time_choice_1,time_choice_2,time_choice_3
23196,"Floor to Standing: How We Get Up, How We Go",,"<p class=""p1"">This course will introduce students to physical fundamentals often utilized in Western contemporary dance techniques. This class will attend to the physical structure of the body—including its commonalities and idiosyncrasies—to build the strength and range required to move horizontally and vertically, with gravity and against it, with momentum and in stillness.</p>
<p class=""p1"">We will work towards proprioception, wherein the student is aware of their body through sensation and able to make choices and changes according to comfort and desire. Together, we will explore initiation, momentum, and dynamic. This class is designed for students who are curious to better understand their physical form—its tendencies, its structures, its patterns—to work with their body as it is and easefully guide their body towards sequences and spatial patterns that prioritize ease, efficiency, and innate power. No prerequisites required. This class is open to motivated non-dancers and courageous beginners.</p>","Londs Reuter, MFA Teaching Fellow",2000-level,"Dance or Drama Lab Assignment if students are registered for 4 or more credits in designated dance courses.
",Fully in-person,2,20,"Develop spatial and interpersonal awareness 
Gain functional mobility and connect sensation to action
Learn about shape, alignment, posture, and direction for your particular body
Ability to receive feedback and adapt to new information
Expanding one’s movement range and movement possibilities
",DAN2370.01,publish,Full-term,,Tu/F 8:30AM - 10:20AM,,,
23314,Form and Process: Introduction to Painting,,"<p style=""font-weight: 400;"">This course introduces a variety of materials, techniques and approaches to working with oil paint. Emphasis is placed on developing and understanding of color, form and space as well as individual research and conceptual concerns. The daily experience of seeing, along with examples from art history and contemporary art, provide a base from which investigations are made. Formal, poetic, and social implications within paintings both from class and from a wide-ranging selection of practicing artists are examined and discussed. Students complete work weekly. There are regular group critiques and individual reviews, reading assignments and lectures by visiting artists. A high degree of motivation is expected.</p>
<p style=""font-weight: 400;"">Although students will be asked to respond to questions presented in class, and specific assignments will be given throughout this course, it is the objective of this class to provide the skills necessary for the student to confidently pursue self-designed projects.</p>",Colin Brant,2000-level,VALS (if possible),Fully in-person,4,15,"- Experience with basic contemporary techniques for use and safe handling of oil paint

- Understanding of the basics of construction and safety when building painting supports.

- Practice with use of a full color painting palette and practice observing naturalistic color.

- Exposure to and formal research of wide-ranging definitions and approaches to contemporary painting and a broad range of living artists, their material and conceptual/narrative priorities.

- Experience with the practice of inclusive classroom conversation particularly as it pertains to the discussion of the artwork of classmates as well as to the analysis of contemporary art.

- Increased confidence with the artistic process and full engagement with studio practice through the development of ideas and approaches through conception to finish.
",PAI2107.01,publish,Full-term,,,Tu 2:10PM - 5:50PM,,
23034,Foundations of Photography: Digital Practice,,"<span data-contrast=""none"">This course will discuss practices and ethics around digital photography and experiment with foundational tools and techniques, aiming to create space for students to develop their own interests within the possibilities of the medium. Classes will combine practical exercises, discussions mostly around the work of contemporary </span><span data-contrast=""none"">LGBTQIA+ and BIPOC photographers, and readings on the development of digital photography and its impact on society. Materials will intersect photography theory, interview with artists, current debates on photography technology, ethics, and gender studies. </span><span data-contrast=""none"">We will address </span><span data-contrast=""none"">photography in manual mode, experiment with composition and light, organize, develop, and manipulate digital image files using Lightroom and Photoshop, and experiment with finalizing work for the screen and for inkjet prints.</span><span data-contrast=""none""> Students will practice</span><span data-contrast=""none""> analyzing, creating, discussing, and writing about photography through in-class and weekly practical assignments, feedback rounds with their peers, self-directed final projects, readings, and journaling.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:6,&quot;335551620&quot;:6,&quot;335559731&quot;:720,&quot;335559739&quot;:160,&quot;335559740&quot;:259}""> </span>

<span data-contrast=""none"">Digital SLR cameras will be available from the college for students to use throughout the term. Photoshop and Lightroom will be available on all 12 workstations in the Photo Digital Lab. </span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;201341983&quot;:0,&quot;335559738&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:259}""> </span>

<span data-contrast=""none"">Students will be required to have a Mac-compatible external hard drive and inkjet photo paper to complete assignments. </span><span data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;201341983&quot;:0,&quot;335559738&quot;:0,&quot;335559739&quot;:0,&quot;335559740&quot;:259}""> </span>",Luiza Folegatti,2000-level,,Fully in-person,4,12,"Develop/improve their skills in shooting, editing, printing, and managing digital photographs 
Create new work within short time periods in response to prompts and develop, and revise a sustained independent project 
Practice contributing to critiques with peers and receiving feedback on their work 
Build awareness of historical and contemporary artists and the breadth of possibilities for the medium 
Make observations, think critically, speak and write about photography, enhancing their ability to present work
Actively reflect on their own questions and relationship to the ideas in the course, and on their creative and learning processes, and make connections to other areas of interest ",PHO2153.01,publish,Full-term,,,Th 8:30AM - 12:10PM,,
23275,Foundations of Political Leadership,APA,"As an interactive process between leaders and their followers or supporters, political leadership is a socially ubiquitous, yet analytically elusive and normatively contentious, concept. This exploration of the qualities of political leaders and the process of political leadership will accomplish five things: (1) Survey contributions to studies of political leadership from various theoretical and philosophical traditions and social science disciplines, including positivism, constructivism, feminism, political science, psychology, and anthropology; (2) Analyze different taxonomies and models of political leadership, including so-called transactional and transformational leadership types; (3) Examine patterns and norms of political leadership across regions of the global north and south, and in various contexts, including democracies and autocracies, presidential and parliamentary regimes, national and international organizations, and formal and informal spaces;  (4)  Undertake analytic case studies of a selection of iconic and not-so-iconic political leaders; and (5) Reflect on, and reimagine, the future of political leadership as an institution and a field of inquiry.

&nbsp;",Rotimi Suberu,2000-level,,Fully in-person,4,20," In this course, you will:
1. Survey various theoretical, philosophical and social scientific perspectives on political leadership;
2. Learn about different analytical typologies and patterns of political leadership in diverse contexts and countries;
3. Conduct case studies on select political leaders;
4. Critically assess the future of political leadership as an institution and a field of inquiry.
  


",POL2115.01,publish,Full-term,,Tu/F 8:30AM - 10:20AM,,,
22823,From an Indigenous Point of View,,"Using the novel as ethnography, this course examines world cultures through literary works of authors from various parts of the world. We explore the construction of community in precolonial, colonial, and postcolonial times; independence movements; issues of individual and social identity; and the themes of change, adaptation and conflict. Student work includes an analytical essay, contribution to an extensively researched, group class presentation on contextual material, a research based essay, and a final piece of fiction writing.",Miroslava Prazak,4000-level,,Fully in-person,4,16,"• To explore the line between truth and fiction in narrative accounts
• To explore and analyze how meaning is communicated in novels by cultural insiders and scrutinize similarities and differences with ethnographic sources
• To appreciate and assess various sources of everyday understandings",ANT4205.01,publish,Full-term,,,W 2:10PM - 5:50PM,,
23944,Fundamentals of Creative Writing,,"<p dir=""auto"">Creative writing is a method not just of expression, but of deep attention: thus we will begin our journey to the blank page by looking, with wonder and precision, at pages filled by such masters of craft as Cathy Park Hong, Robyn Schiff, Nathaniel Mackey, Ben Lerner, Miranda July, Mariana Enriquez, and Souvankham Thammavongsa. Our reading assignments, which will span poetry and prose of various aesthetic stripes (from “dirty” realist poetry to absurdist parable), will introduce a wide variety of topics and questions that will aid our own creative writing throughout the term. Such topics and questions will include: (A) What narrative strategies might we employ to enact a sense of individual pleasure? Or of collective dread?; (B) How can we be architects of surprise for a reader when we ourselves often know “how the story ends”?; (C) What is enjambment in poetry and can we leverage sentence structure to mimic it in prose?; (D) <span data-sheets-root=""1"">What is a sonnet and how do various practitioners of it accommodate and complicate the form to different effect?</span>; (E) As a unit of perception and experience, how does the poetic line differ from the sentence? And how do they interact over the course of a stanza or an entire poem?; and (F) What is “vantage” and how does it relate to “point of view”? How might these terms apply not just to a story but also a poem in narrative or monologue form?</p>
All of these questions, and others, will only fuel us as we respond creatively to our readings through in-class discussion, in-class craft exercises, occasional workshops, and take-home writing prompts. This is a generative course; therefore, participants will turn in an original piece of writing every week, whether that be a vignette or a villanelle.

&nbsp;",Devon Walker-Figueroa,2000-level,Students are required to attend Literature Evenings and Poetry at Bennington events offered during the course term on Wednesday evenings.,Fully in-person,4,25,"1) Hone our skills as readers and, by extension, as writers—investigating each text with an eye on reconstructing the series of craft decisions its author made.
2) Develop a lexicon for approaching literary craft decisions. 
3) Deepen our relationship to and awareness of diction and syntax, as well as rhetoric, form, and genre.
4) Remain open to the mysteries that both vivify our art and throw our experiences and knowledge sets into necessary relief. 
5) Attune ourselves to the stories, poems, and essays that we may be uniquely equipped to write and that, hopefully, force us to change in order to write them.
6) Undertake revision as a creative project in and of itself.
7) Generate new writing spontaneously, both within the classroom and beyond it. 
8) vLearn how to give and receive compassionate, constructive, and meticulous feedback. 
9) Create a portfolio of thoroughly expressed and well-edited work that spans poetry and prose.",LIT2566.01,publish,Full-term,,W 10:00AM - 11:50AM & W 2:10PM - 4:00PM,,,
24296,Gospel Music; Share the Joy,,"<span data-sheets-root=""1"">This singing ensemble is dedicated to the performance of African American spirituals, gospel music, protest songs, and South African songs as understood in their historical, spiritual, and social contexts. Messages of hope, faith, healing, of striving for justice and peace and of celebrating life will be the focuses for this singing experience. The course will culminate in a program on campus where we will share from the music we’ve learned. There may be opportunity for a field trip to sing with a neighboring college choir or sing at a local church. Please note that every member, whether taking it for credit or not, is expected to fulfill the same requirements and share the same commitments. </span>",Kathy Bullock,2000-level,,Fully in-person,2,75,,MUS2256.01,publish,1st seven weeks,M/Th 7:00PM-8:50PM,,,,
23192,Graduate Research in Dance,,"<span style=""font-weight: 400;"">This course is designed to assist graduate students with the research and development of their new work. The weekly format is determined with the students. In class, they show works-in-progress, try out ideas with their colleagues, and discuss issues involved in their creative processes. Though the class meets only once a week, students are expected to spend considerable time each week in active, ongoing creative research; their independent projects will be presented to the public, either formally or informally, by the end of the term. All MFA candidates bring their own professional histories and contribute their own artistic voices.</span>",Elena Demyanenko & Nicole Daunic,5000-level (Graduate),"Participation in Dance Workshop
",Fully in-person,6,3,"- Evolution of new work
- Ongoing creative research
",DAN5305.01,publish,Full-term,,,,,
24272,Graduate Seminar,,"<span style=""font-weight: 400;"">This topic driven seminar focuses on current developments within the field of dance and performance. </span><span style=""font-weight: 400;"">Students will learn to think of dance and performance through their own embodied experiences and by placing dance, movement, and performance in wider disciplinary, cultural and global contexts.</span>

<span style=""font-weight: 400;""> </span>",Chang Yuchen,5000-level (Graduate),,Hybrid,2,7,"Students will share an expanded understanding of dance as part of culture and history.

Students will have a deepened awareness of the role of dance in society within both local and global contexts.

Students will archive, document, collect and share their research, practice, and creative projects in a multitude of ways.

Students will develop innovative and experimental ways to language dance both verbally and in writing.
",DAN5408B.01,publish,Full-term,,,,,
23194,Graduate Teaching Fellowship in Dance,,"<span style=""font-weight: 400;"">Graduate Teaching Fellows in Dance are integrated into the dance program as teaching assistants. In consultation with their academic advisors and the dance faculty, MFA candidates develop an assistantship schedule of approximately ten hours weekly; the courses they develop and teach are listed in the curriculum. All Teaching Fellows bring their own professional histories and contribute their own manners of teaching. Outside of listed class times, TBD, the Teaching Fellows will meet to discuss their courses, with the designated faculty and with each other. Furthermore, they will play an active role in the weekly meetings and events of the Dance Program.</span>",Elena Demyanenko,5000-level (Graduate),"Participation in Dance Workshop
",Fully in-person,4,3,"Evolution of teaching (preparation, content, presence &amp; communication).
Development of administrative skills (collaboration, organization &amp; communication).


",DAN5304.01,publish,Full-term,,,,,
23161,"Harlem & the Northern Renaissance: New/Amsterg@ddam, 1450-now",,"In this transcultural, transhistorical upper-level course, we will study the crucial phases and practitioners of early modern Netherlandish art—-from Jan Van Eyck and Rogier van der Weyden to Clara Peeters plus Peter Paul Rubens, Rembrandt, Vermeer, and de Hooch. Then—we’ll recalibrate and look at the ways in which modern and contemporary artists of color, particularly Black artists, e.g. Mickalene Thomas, Kerry James Marshall, Romare Bearden, Roy DeCarava, Toyin Odutola, Fabiola Jean-Louis—and Nina Simone—are in formal and conceptual conversation with characteristically Northern genres and aesthetics such as portraiture, genre painting, and still life—-but also reflection, materiality, and figuration. Race, gender, and intersectionality will abound. Short paper and long paper and a final presentation. You will learn how to look, read, and write closely using both traditional and experimental art historical methods + critical race theory and Black feminism.",J. Vanessa Lyon,4000-level,,Fully in-person,4,12,"Humanities research and writing
formal analysis
transhistorical research 
engagement of critical theory",AH4312.01,publish,Full-term,,,Th 1:40PM - 5:20PM,,
23203,History of Medicine: From Hippocrates to Harvey,,"How did premodern culture understand the human body? How did it work? Where did it fit in the Great Chain of Being, and what differentiated men from women? Medicine has always been a hybrid of thinking, seeing, knowing, and doing. But what defined medicine in the past? Was it a science, an art, or merely a collection of practices? Between the age of Hippocrates and the age of Enlightenment, medicine very slowly detached itself from philosophy to become empirical and experimental. Using documents, art, and images, we follow patients and practitioners over two millennia – and, as we trace the history of healing, we chart changing perceptions of the body in the premodern world.",Carol Pal,2000-level,,Fully in-person,4,20,"Students taking this course will engage with the joy of doing good history.  Specifically, they will:
1.	Learn about one facet of the multifaceted, never-ending, and eternally surprising realities of the past.
2.	Learn how to respectfully analyze historical facts and documents through an understanding of those who made them.
3.	Learn how to express those respectful analyses in writing.
",HIS2312.01,publish,Full-term,,Tu/F 10:30AM - 12:20PM,,,
22807,History of Theater II,,"<p style=""vertical-align: baseline; margin: 0in 0in .25in 0in;""><span style=""color: #222222;"">This course offers a continuing introduction to the history and development of world theater and drama. We will experience the vibrant pageant of theater history through an exploration of its conventions and aesthetics, as well as its social and cultural functions. Starting in the nineteenth century, we will read representative plays ranging from the advent of stage Realism and Naturalism with Ibsen and Strindberg, through modern and contemporary drama (from the United States, Europe, Asia, South America, and Africa). As we study theatrical movements including Symbolism, Expressionism, Epic Theater, and Theater of the Absurd, we will also read key critical and theoretical texts illuminating the plays. Looking at theater history as “living theater,” the course encompasses not only the study of plays as dramatic texts, but also their contexts of theater architecture and stagecraft, performance conventions, debates of art and commerce, shifting relationships to the audience, and questions about expanding the canon. Through an interdisciplinary study of theater history, students will also learn to connect theatrical traditions and conventions to contemporary practices in diverse forms and cultures.</span></p>",Maya Cantu,2000-level,,Fully in-person,4,20,"Students will: 

o Become familiar with key figures, innovations, concepts, and conventions of world theater history, from the late nineteenth century, with the advent of Realism, through the turn of the twenty-first century.
o Understand the diverse functions that theater has served, within its various historical, political, aesthetic, and cultural contexts.
o Learn to analyze dramatic literature through perspectives informed by global theater history.
o Connect theater history and dramatic literature, with the dramatic theories informing its contexts, development, and reception.  ",DRA2282.01,publish,Full-term,,M/Th 10:00AM - 11:50AM,,,
24565,"Housing in America, Housing in Bennington",SCT,"Housing has become a crisis for many Americans, but how it is a crisis is still poorly understood. This class takes housing as an urgent question, and aims to use the classroom as a critical research hub to better grasp the national and local dimensions of the current housing crisis. Students will be expected not only to participate in the academic study of housing in America but also participate in a community research project to better understand and publicize what the housing crisis looks like in Vermont and in Bennington. Topics we will review include: housing as a market versus housing as a right; the changing profile of who owns homes in Vermont and what purpose those homes primarily serve (investment, vacation, or shelter). We will also investigate how Vermont now has the second highest homeless population in the United States (per capita), and how hard it can be to see rural homelessness. Students will also be expected to leverage their research to envision what a more equitable housing policy might look like. Students will be trained in historical methods, semi-structured interviews, and ethnographic research, and we will use social research to understand how this crisis took shape, to summarize its measurable dimensions in Vermont and in Bennington, and to describe how local residents experience it. While most of the work will happen within the classroom, there will also be mandatory trips into Bennington. Together, we will produce a report on housing for the Bennington community.",David Bond,4000-level,,Fully in-person,4,18,,APA4171.01,publish,Full-term,,,W 8:30AM - 12:10PM,,
23286,Hyper Body! – Anarchic Ballet to Water Movement to African Dance to Floor Ninja to Body Architecture to Shining Zombie to Unknown Transformation…..,,"This beginning-intermediate level course is designed and recommended for students who have some dance experience or equivalent physical training in any movement forms. Anyone who would like to recultivate, reactivate, improve, deepen, expand, develop or break the relationship to their own body and commit to consistent physical learning, are welcomed.

In order to have our minds and bodies relaxed as a default modality, the class offers somatic practice and warm-ups drawn from Water Body Movement (or Noguchi-taiso) and release techniques. Students are also introduced to various movement forms, practice and sequences fluidly one to another not necessarily with categorization and distinction, on the premises that a body is like a black hole, which absorbs and internalizes everything while constantly forming and renewing its own logic.

By exposing a body to various movement languages, rhythms and flows, we will cultivate motor skills, coordination, spatial recognition, phrase learning ability and physical logic making while diving deeply into the process of embodied learning.",Kota Yamazaki,2000-level,Dance or Drama lab assignment if students sign up for 4 or more credits in designated dance courses.,Fully in-person,2,20,"-Expand a range of physical language
-Expand perspectives on dance
-Improve motor skills and establish active and healthy relationship to own body
-Learn movement phrases of different styles
-Be able to cultivate and move upon a sense of freedom and uniqueness while engaging in the technical aspect of movement practice
-Find own physical coordination and phrasing manner
 
",DAN2156.01,publish,Full-term,,Tu/F 10:30AM - 12:20PM,,,
23171,I am a Material,VA,"What is a more valuable piece of matter? String, cotton-balls and rubber bands may be what should be affixed to your unique prosthetic to complete a given task…

This course will cover information and techniques related to body casting, wire rope rigging, fabrication, and other building processes.The students will be asked to keep a journal which will be the most important document for this class. This is a project based performance course where the student will be given problems set to define and complete. The found solutions will be evaluated on how thoroughly they analyze the task. Each student will be encouraged to reach deep into the prompts of each project to find personal connections to support an active inquiry. Their work practice will search for clear definitions through experimentation. Their intent and efforts will consistently be represented through prototyping, drawing and showing works in progress. Part of the class practice will be designed around space visits both on campus and off, in building or out in nature. Honing our sensory associations from class to class will allow for fruitful class discussions breaking down the metrics at which we evaluate each other's work.",John Umphlett,4000-level,,Fully in-person,2,12,"1. Break down material properties to support personality trait foundations; understanding movement and installation.
2. Learn how to work and participate within group projects.
3. Learn about the history of sculptural practices up to the contemporary moment, in its diversity of cultural perspectives and identities.
4. Become familiar with the process of transferring drawing and narrative prompts into three dimensional form.
5. Break down material properties as personality traits for understanding movement and installation.
6. Grasp complex material collaboration relationships through reverse engineering to apply to the understanding of modern day products' success. 
",SCU4112.01,publish,1st seven weeks,,,M 1:40PM - 5:20PM,,
23982,"In the Eastern, Green Mountains: Poetry through an Experimental Buddhist Lens",,"<p style=""font-weight: 400;"">While we conventionally read poetry through a western critical academic lens, in this course, we will approach western poetry from an experimental eastern lens, in an effort to experience the mutually illuminating relationship between poetry and contemplative study and deepen our relationship to the mystical nature of American poetry. In the first part of the semester, students will explore several key Buddhist texts and forms, and can expect to learn about Buddhist phenomenology and the role of poetry in Buddhist practice, and its contemplative approaches to literary study. We will investigate the lines between so-called sacred and secular literature in the West and how the categories change how we practice exegesis. We will consider literary forms such as the sutra, the gatha, the darani, koan, haiku and haibun alongside Buddhist approaches to reading and writing them, such  as calligraphic meditation, kinhin walking meditation, and <em>plein-air </em>free-style philosophical debate. Specific readings will include “The Heart Sutra,” excerpts from <em>The Diamond Sutra and The Flower Ornament Sutra</em>, an excerpt from the poetic treatise <em>Genjokoan </em>and “Rivers and Mountains  Sutra” by Eihei Dogen, selected koan cases from <em>The Blue Cliff Record </em>and <em>Book of Serenity</em>, and assorted poetry by Chiyo-ni, Buson, Ryokan, Bassho, and Ikkyu, and Sun Buer. From this ground, we will then shift our focus to reading American poets with our own heuristic Buddhist formalist lens which will attempt to craft together. We will read authors who have either directly or indirectly been influenced by East Asian literature or for whom this lens would help to describe an American “mystical” tradition, potentially including Emily Dickinson, WC Williams, Gertude Stein, John Asbbery, Mei-Mei Brussenbrugge, Brandon Shimoda and Filip Marinovich. By the end of the semester, students will have a felt sense of how this comparative contemplative methodology can deepen our understanding of reading poetry, its relationship to contemplative practices such as Buddhism, and of American literary approaches to mysticism.</p>
&nbsp;",Farnoosh Fathi,2000-level,,Fully in-person,4,20,,LIT2568.01,publish,Full-term,,M/Th 10:00AM - 11:50AM,,,
24274,Independent Study,,"<span style=""font-weight: 400;"">Students propose an independent study plan with approval from Donna Faye Burchfield and select an approved thinking partner/mentor.</span>

Credits to be determined between faculty and student.",TBA,5000-level (Graduate),,Hybrid,4-Feb,20,"Students will archive, document, collect and share their study, research, practice, and creative projects in a multitude of ways.

Students will develop innovative and experimental ways to language dance both verbally and in writing.
",DAN5410B.01,publish,Full-term,,,,,
24264,Individualized Lab,,"<span style=""font-weight: 400;"">This course allows students to self-design practice/research by combining topics and approaches from the Practice LABs and/or the Studies LABs to meet required hours. The Labs take the form of a series of workshops, and include both lecture/discussion and studio formats. </span>",Donna Faye Burchfield,5000-level (Graduate),,Hybrid,2-Jan,20,"Students will archive, document, collect and share their study, research, practice and creative projects in a multitude of ways.

Students will develop innovative and experimental ways to language dance both verbally and in writing.

Students will be able to recognize how notions of critical discourse, collectively and collaboration expand how learning happens.
",DAN5403B.01,publish,Full-term,,,,,
24257,Individualized Practice,,"<span style=""font-weight: 400;"">Through mentor approved independent work, students develop and schedule their own weekly creative practices using student-initiated resources and/or classes.  </span>In consultation with mentors, students develop a weekly <span class=""il"">practice</span> that extends and/or expands their creative <span class=""il"">practice</span> and research. Mentors guide students through the plan that may include a combination of <span class=""il"">practices</span>, techniques, technologies and methodologies. The study format should provide opportunity for varied explorations and choices.

<span style=""font-weight: 400;"">Requirements include meeting with practice mentors for scheduled one-on-ones, creating an archive of the experiences, and locating innovative ways to share both resources and experiences at the end of the course. Both experimentation and inquiry are encouraged. </span>",Donna Faye Burchfield,5000-level (Graduate),,Hybrid,2-Jan,20,"Students will be able to:

.  plan, summarize and transcribe practices and study into study proposals and personal archival formats to share 

.  describe and discuss, both verbally and in writing, the distinguishable changes and tenets within their practice

.  recognize how notions of critical discourse, collectively and collaboration expand how learning happens",DAN5400B.01,publish,Full-term,,,,,
24672,Individualized Studio Practice + Process,,"<span style=""font-weight: 400;"">Students will work with their advisor to self design study in practices + processes through combining and creating new pathways through the curriculum.</span>

<span style=""font-weight: 400;"">*BFA students may take the Studio Practice + Process course for CS credit. </span>",Donna Faye Burchfield,4000-level,,Fully in-person,Variable. Up to 4 Credits,20,"Students will be able to:
- Foster critical thinking about the dancing body and ways of moving
- Combine and organize a body practice that reflects on and supports the physical demands of the expanding fields of dance research and performance
- Integrate movement through the frames of time, space and poetics
- Demonstrate readiness to assume the working life of a professional dancer, whether in academia, world stages or within one’s community
",DAN4817B.01,publish,Full-term,,,,,
22825,Inequality in a Globalized World,,"Globalization has transformed the way we live. The world is experiencing an unprecedented interaction of people, ideas, images, and things that continues to intensify. Communication technologies link people instantaneously across the globe. Economic activities challenge national boundaries. People are on the move within and between countries. The complexities of the global economy and the connections it facilitates among people, states, and corporations reveal both the potential to create links and to divide, giving rise and expression to imbalances and inequalities. How do people make life choices in this complex web of constraints and opportunities? What are the dynamics by which differential access to resources and opportunities is determined within societies and between them? Has the world become homogenized or do societies and cultures continue to differ in significant ways? What are the structures within which power is negotiated, and what are the factors that shaped them historically and in the present? Through ethnographies reflecting anthropology’s unique research strategies, analytical methodologies, deep commitment to the project of cross-cultural understanding and engagement in attempts to make the world a better place, we will explore the animating forces of today’s world—globalization, democratization/authoritarianism, capitalism, migration, social movements, as they shape the constraints and opportunities open to citizens of specific countries and communities.",Miroslava Prazak,2000-level,,Fully in-person,4,20,"-To learn the dimensions of the study of power and the domains it infuses
-To study structures of ethnicity, race,  gender, kinship and class
-Develop analytical tools to unmask power dynamics and struggles
-To examine issues of access and opportunity 
",ANT2457.01,publish,Full-term,,Tu/F 10:30AM - 12:20PM,,,
23296,Insider Perspectives on the Francophone World II,,"Viewed from the outside, the French-speaking world offers enticing images of beauty, pleasure, and freedom. From the inside, however, it is a complicated, often contradictory world where implicit codes and values shape the most basic aspects of daily life. This course will give you an insiderʹs perspective on a cultural and communicative system whose ideas, customs, and belief systems are surprisingly different from your own. Together, we will examine how daily life and activities (friendship and family relationships, housing, leisure, work, and food culture) reflect culturally specific ideologies and values. We will also focus on questions of gender and the French language, including inclusive language, as well as French society’s coming to terms with the realities of its colonial past and the multi-racial Francophone world. Emphasis will be placed on developing ease, fluency, and sophistication in oral and written expression. Class will be conducted in French and revolve around authentic materials from the Francophone world (video, music, advertisements, literary texts). Introductory level.",Noëlle Rouxel-Cubberly,4000-level,"Attendance at 2 CSL speaker series. Attendance (2 times) at French Table.
",Fully in-person,5,20,"Development of:
• familiarity with and a partial command of the phonetic system
• an understanding of and competency in the use of basic grammatical structures
• sentence-level discourse
• vocabulary in basic and concrete topics
• the ability to understand, and to speak, read and write about basic topics
• the ability to recognize different registers of language and cultural products and practices
• the ability to infer vocabulary, grammar and content through context
• the ability to recognize and identify essential information in various types of texts",FRE4224.01,publish,Full-term,,,,,M/W/Th 8:30AM - 9:50AM
23776,Intermediate Drawing: Beyond Representation,,"<div>In this intermediate drawing course students will expand on basic representational drawing skills through the investigation of the ways drawing is interdisciplinary, intersecting with painting, sculpture, printmaking, and performance. For inspiration along the way we will study artists who work in interdisciplinary ways including: Ana Mendieta, Mirtha Dermisache, David Hammons, Nam June Paik, Trisha Brown, Charles Gaines, William Anastasi, Richard Long, Francis Alys, Kazuo Shiraga, John Cage, Yoko Ono, Marina Ambramovic, Do Ho Suh, and Adrian Piper.</div>
<div></div>
<div>This course invites you to investigate how drawing might influence, support, and/or expand your larger artistic practice by giving you space to investigate new processes and ways of working. You will be invited to explore ideas that are meaningful to you, which means that self-motivated students excited to take risks, experiment, challenge themselves, and push their work into uncharted territory will thrive in this course.</div>
<div>
<div>

Projects will encourage you to find your own answers to questions and drawing problems posed. Expansion of your drawing skills through experimentation with (and the invention of) tools, techniques, and non-traditional drawing materials is strongly encouraged. Out of class work will include four art-making projects and one research project/presentation about an artist. In class time is divided between drawing prompts, group critiques, slide lectures, discussions of assigned readings, and possible visiting artist lectures and/or visits to regional museums or artist studios.

</div>
<div>

Some of the questions we will consider: What is drawing? In what ways can drawing go beyond mere visual representation? In what ways can a drawing go beyond image? How is drawing a way of thinking? What is the relationship between materials, process, and concept in a drawing? How does my direct tactile experience of a material change the way I make marks, draw, think, and see? How does the source of my idea change the outcome of a drawing? How do I bring the ideas I’m passionate about into my work in ways that are visually, conceptually, and materially compelling?

</div>
</div>",Beverly Acha,4000-level,,Fully in-person,4,14,"- Expand basic representational drawing skills and expand the definition of drawing
- Develop a personal sense of how drawing can support and/or expand an artistic practice
- Further develop individual drawing practice through open ended prompts
- Investigate the ways drawing is interdisciplinary, intersecting with painting, sculpture, printmaking, performance
- Investigate different methodologies, criteria, and processes for making a drawing
- Develop the ability to talk about your own work and that of others through critique and writing exercises",DRW4103.01,publish,Full-term,,,M 1:40PM - 5:20PM,,
23927,Intermediate Drum Set (Fundamentals),,"This course is for students who have experience in playing drum set. In this 7 week class, students will fine-tune their stick control, hi-hat, cymbal, and bass drum technique, grooves, and drum fills. Listening, viewing, and reviewing drummers who have contributed to the innovation of the art of the drum set is a weekly part of our class discussion. We will use 2 drum sets in class to demonstrate an exercise or assignment. Students are expected to participate in this classroom practice. You are expected to learn grooves from a variety of genres including, but not limited to Blues, Funk, Rock, Progressive Rock, Fusion, Jazz, and Hip-Hop.

Homework assignments include: Recording 15 minutes of your practice for weekly submission, playing with other musicians, attending music workshop, and maintaining the drum set practice space and equipment in the DCB attic and Fireplace room.",Michael Wimberly,4000-level,,Fully in-person,2,9,"Becoming a better musician 
Gaining better stick and pedal control 
Figuring out what the drummer is playing on a recording (getting better at dictation) 
Hearing your development from recording weekly practices 
Showcasing your talent with your peers",MIN4023.01,publish,Full-term,,,,Th 1:40PM - 3:30PM,
23672,Intermediate Ear Training,,"In this course, students will develop intermediate skills in aural perception, learning to visualize, sing, and notate music through melodic, harmonic, and rhythmic exercises. Classwork will include singing melodies with solfege (prepared and at sight); performing rhythms, eventually incorporating syncopation, cross-rhythms, small subdivisions, and changing meters; taking melodic and harmonic dictation; writing and singing back short compositions; transcription and analysis of recorded music. Our main focus will be tonal music, including diatonic and chromatic melody.",Nicholas Brooke,4000-level,,Fully in-person,2,12,"Ear training; an ability to sing what you see, and learn music orally.
An ability to transcribe and repeat melodies, and to break down rhythms in order to perform them.
An ability to hear chords and analyze songs in real-time",MTH4284.01,publish,Full-term,,,,Tu 4:10PM - 6:00PM,
